,_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,birthplace,birthplace:confidence,date_of_birth,date_of_birth:confidence,race_ethnicity,race_ethnicity:confidence,religion,religion:confidence,sexual_orientation,sexual_orientation:confidence,year_of_award,year_of_award:confidence,award,biourl,birthplace_gold,date_of_birth_gold,movie,person,race_ethnicity_gold,religion_gold,sexual_orientation_gold,year_of_award_gold,Show,Public Average Rating (IMDb),Number Public Votes (IMDb),IMBd title (check for validity),First Air Date,Metascore Pro Rating,Number of Professional Reviewers,Metascore Name (check for validity)
189,670454542,False,finalized,3,2/10/2015 1:51,"Chihuahua, Mexico",1.0,21-Apr-15,1.0,Hispanic,1.0,Na,1.0,Straight,1.0,1953,1.0,Best Supporting Actor,http://www.nndb.com/people/228/000032132/,,,Viva Zapata!,Anthony Quinn,,,,,Viva Zapata!,7.3,11K,Viva Zapata!,1952,None,None,Couldnt pull name
190,670454543,False,finalized,3,2/10/2015 2:06,"Hoboken, Nj",1.0,12-Dec-15,1.0,White,1.0,Na,1.0,Straight,1.0,1954,1.0,Best Supporting Actor,http://www.nndb.com/people/300/000026222/,,,From Here to Eternity,Frank Sinatra,,,,,From Here to Eternity,7.6,45K,From Here to Eternity,1953,85,21,From Here to Eternity
191,670454544,False,finalized,3,2/10/2015 3:51,New York City,1.0,10-Sep-15,1.0,White,1.0,Roman Catholic,1.0,Straight,1.0,1955,1.0,Best Supporting Actor,http://www.nndb.com/people/620/000042494/,,,The Barefoot Contessa,Edmond O'Brien,,,,,The Barefoot Contessa,7.0,11K,The Barefoot Contessa,1954,None,None,Couldnt pull name
192,670454545,False,finalized,3,2/10/2015 2:04,"Newton, Ma",1.0,8-Feb-25,1.0,White,1.0,Roman Catholic,1.0,Straight,1.0,1956,1.0,Best Supporting Actor,http://www.nndb.com/people/714/000026636/,,,Mister Roberts,Jack Lemmon,,,,,Mister Roberts,7.7,16K,Mister Roberts,1955,72,12,Mister Roberts
193,670454546,False,finalized,3,2/10/2015 3:58,"Chihuahua, Mexico",1.0,21-Apr-15,1.0,Hispanic,1.0,Na,1.0,Straight,1.0,1957,1.0,Best Supporting Actor,http://www.nndb.com/people/228/000032132/,,,Lust for Life,Anthony Quinn,,,,,Lust for Life,7.4,11K,Lust for Life,1956,None,None,Couldnt pull name
194,670454547,False,finalized,3,2/10/2015 4:06,New York City,1.0,5-Feb-19,1.0,White,1.0,Jewish,1.0,Straight,1.0,1958,1.0,Best Supporting Actor,http://www.nndb.com/people/820/000022754/,,,Sayonara,Red Buttons,,,,,Sayonara,7.5,5.4K,Maquia: When the Promised Flower Blooms,2018,None,None,Couldnt pull name
195,670454548,False,finalized,3,2/10/2015 1:51,"Hunt City, Il",1.0,14-Jun-09,1.0,White,1.0,Na,1.0,Straight,1.0,1959,1.0,Best Supporting Actor,http://www.nndb.com/people/679/000042553/,,,The Big Country,Burl Ives,,,,,The Big Country,7.9,17K,The Big Country,1958,None,None,Couldnt pull name
196,670454549,False,finalized,3,2/10/2015 2:03,"Marian Glas, Anglesey, Wales",1.0,30-May-12,1.0,White,1.0,Na,1.0,Na,1.0,1960,1.0,Best Supporting Actor,http://www.nndb.com/people/120/000063928/,,,Ben-Hur,Hugh Griffith,,,,,Ben-Hur,5.7,43K,Ben-Hur,2016,38,34,Ben-Hur
197,670454550,False,finalized,3,2/10/2015 2:15,"London, England",1.0,16-Apr-21,1.0,White,1.0,Na,1.0,Straight,1.0,1961,1.0,Best Supporting Actor,http://www.nndb.com/people/810/000022744/,,,Spartacus,Peter Ustinov,,,,,Spartacus,8.5,230K,Spartacus,2010–2013,87,17,Spartacus
198,670454551,False,finalized,3,2/10/2015 2:04,"Norwood, Oh",1.0,16-Sep-34,1.0,White,1.0,Na,1.0,Gay,1.0,1962,1.0,Best Supporting Actor,http://www.nndb.com/people/119/000063927/,,,West Side Story,George Chakiris,,,,,West Side Story,Not in IMDb,Not in IMDb,West Side Story,2021,86,17,West Side Story
